,Unnamed: 0,Unnamed: 0.1,tweets,date,tweet_id,subjectivite,sentiment,replay
47,47,47,poivrons farcis boulghour gourmand léger bon pour santé recettes légumes,2020-08-22 08:30:25,1297088724401033217,objective,0, 
48,48,48,sablés surprises à framboise une surprise gourmande recettes biscuits framboises,2020-08-21 16:30:26,1296847136471109635,objective,0, 
49,49,49,muffins poire cannelle certains naime parent cannelle moi jadore vous recette,2020-08-21 14:30:26,1296816939197702146,objective,0,
50,50,50,melon figues à mozzarella jambon encore petit air vacances recettes,2020-08-21 10:30:19,1296756513147686912,objective,0, 
51,51,51,crevettes à lananas curry voyage encore peu recettes curry crevettes,2020-08-21 08:30:22,1296726325940682761,objective,0, 
52,52,52,cake chocolat ltlt vite fait gtgt envie chocolat testez cette recette recettes chocolat,2020-08-20 16:31:15,1296484955485241348,objective,0, 
53,53,53,tartes figues crème mascarpone cest saison des desserts aux figues -,2020-08-20 14:31:13,1296454746274967558,objective,0, 
54,54,54,tartare saumon citronné à salicorne fraicheur marine recettes saumon tartare,2020-08-20 10:30:39,1296394208756940800,objective,0, 
55,55,55,rougail saucisses réunionnais fin vacances gourmandes exotiques recettes réunion,2020-08-20 08:30:40,1296364012960133122,objective,0, 
56,56,56,muffins framboise yaourt avec café tisane soir recettes desserts muffins,2020-08-19 16:31:29,1296122626298052610,objective,0,"['Absolutely delicious', 'Miam Miam']"
57,57,57,cake framboises amandes cake saison recettes cake framboises recette gateau,2020-08-19 14:31:18,1296092382664982529,objective,0, 
58,58,58,spaghetti aux sardines bonjour aux siciliens pâtes recettes recette cuisine sardine,2020-08-19 10:30:39,1296031817775144960,objective,0, 
59,59,59,poêlée gambas sauce piquante fini vacances avec lexotisme recettes exotique,2020-08-19 08:30:46,1296001648465240066,objective,0, 
60,60,60,quatre quarts marbré bon gâteau pour enfants recette dessert gateau chocolat,2020-08-18 16:31:03,1295760130127142912,objective,0, 
61,61,61,tarte aux pommes caramélisée claique peu revisité recettes desserts tartes,2020-08-18 14:31:06,1295729942773276675,objective,0, 
62,62,62,risotto basilic cest tellement bon avec basilic frais recettes risotto basilic,2020-08-18 10:30:38,1295669429276114946,objective,0, 
63,63,63,pâtes aux scampis vous allez vous régaler avec cette recette recettes italie recette,2020-08-18 08:30:35,1295639215276011520,objective,0, 
64,64,64,verrine à framboise à ricotta essayez avec fromage blanc recettes dessert,2020-08-17 16:31:24,1295397831004618755,objective,0, 
65,65,65,millefeuille framboise mascarpone desserts saison recettes framboises recette,2020-08-17 14:31:02,1295367538944155649,objective,0, 
66,66,66,confiture doignons délicieux avec grillade recettes grillades accompagnement,2020-08-17 10:30:40,1295307045822963713,objective,0, 
67,67,67,pizza chorizo une pizza pour soir recettes pizza cuisine recette chorizo,2020-08-17 08:30:36,1295276833030778881,objective,0, 
68,68,68,panna cotta coco framboises servir bien frais recettes desserts coco recette cuisine,2020-08-16 16:30:36,1295035241351065607,objective,0, 
69,69,69,charlotte à chantilly framboises citron cest frais léger desserts fruits,2020-08-16 14:30:36,1295005042483826690,objective,0, 
